70,4,3
89,48,49
83,43,84
67,61,31
97,56,57
99,26,100
68,5,4
72,71,64
66,168,1
68,4,70
120,66,65
122,73,62
122,62,32
122,32,33
73,63,62
72,63,73
69,6,5
69,119,6
76,35,36
118,8,7
118,7,119
115,11,10
81,80,40
113,13,12
150,115,151
110,109,16
141,86,87
106,105,20
159,106,107
92,91,51
123,60,61
123,29,121
121,28,124
121,59,60
124,28,27
121,124,59
121,29,28
98,57,58
95,54,55
100,26,25
95,94,54
99,27,26
103,23,22
94,53,54
92,51,52
105,21,20
91,50,51
158,159,91
161,89,90
104,22,21
108,107,18
159,161,90
85,84,44
109,17,16
142,87,88
110,16,15
84,43,44
112,13,113
87,46,47
114,113,12
83,42,43
152,151,116
154,118,119
119,7,6
78,37,38
116,115,10
118,117,8
86,45,46
116,10,9
86,46,87
106,20,19
88,47,48
106,19,107
101,25,24
144,108,109
74,34,75
75,34,35
135,80,81
80,39,40
88,48,89
159,107,161
101,100,25
102,23,103
104,21,105
93,92,52
152,116,117
80,79,39
169,95,96
169,155,95
107,19,18
90,50,91
111,15,14
111,110,15
150,114,115
163,152,153
77,36,37
77,76,36
79,38,39
79,78,38
155,102,103
104,103,22
124,58,59
124,27,99
120,65,71
168,128,70
75,35,76
71,65,64
117,9,8
117,116,9
90,49,50
90,89,49
112,14,13
112,111,14
77,37,78
72,64,63
102,24,23
102,101,24
97,99,100
169,102,155
69,5,68
154,153,118
87,47,88
86,85,45
96,97,100
96,95,55
132,77,78
128,120,71
136,137,150
82,42,83
108,18,17
108,17,109
143,88,89
143,161,144
81,40,41
134,80,135
74,73,122
156,73,74
143,89,161
161,107,108
98,58,124
98,97,57
151,115,116
167,162,133
82,41,42
82,81,41
123,121,60
123,30,29
98,99,97
98,124,99
114,12,11
114,11,115
169,101,102
155,94,95
85,44,45
140,85,86
96,55,56
96,56,97
162,132,133
132,131,77
74,33,34
74,122,33
129,71,72
130,75,76
147,111,112
139,148,138
130,76,131
156,74,75
146,110,111
161,108,144
93,52,53
93,53,94
165,130,131
131,76,77
157,104,105
157,92,93
168,3,2
168,70,3
123,61,67
123,67,30
137,82,83
149,114,150
136,135,81
148,147,112
138,137,83
141,87,142
146,111,147
145,109,110
126,69,68
165,125,129
136,150,151
138,83,84
125,68,70
165,126,125
156,75,130
166,132,162
153,152,117
162,167,154
149,150,137
164,135,136
127,69,126
153,117,118
134,79,80
163,134,135
145,144,109
145,142,144
160,157,93
160,94,155
138,149,137
148,112,113
146,145,110
146,147,140
133,79,134
163,167,134
138,148,149
139,138,84
159,90,91
158,106,159
141,140,86
141,146,140
149,113,114
149,148,113
128,71,129
128,129,125
141,142,145
141,145,146
156,72,73
156,129,72
158,105,106
158,157,105
126,68,125
162,154,127
160,155,103
160,93,94
127,119,69
127,154,119
143,142,88
143,144,142
133,78,79
133,132,78
158,91,92
158,92,157
167,133,134
166,127,126
160,103,104
160,104,157
139,84,85
139,85,140
136,81,82
136,82,137
139,140,147
139,147,148
168,120,128
128,125,70
166,131,132
166,162,127
164,136,151
164,163,135
164,151,152
164,152,163
130,129,156
165,129,130
166,126,165
166,165,131
167,153,154
167,163,153
2,1,168
168,66,120
169,100,101
169,96,100
